ID,Current_Job,Qualification,Years_of_experience,Industry
270, Clinical Psychologist,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",5,Advertising & Marketing
271, Business Intelligence Analyst,bsc accounting,5,Government Services
272, Psychologist,bsc business administration,5,Retail
273, Data Annotator ,bsc computer science,10,Advertising & Marketing
274, Graduate Student Researcher,bsc economics,3,Software
275, School Psychologist,bsc civil engineering,4,Business Products & Services
276, Data Engineer ,bsc electrical engineering,10,IT Management
277, counselling psychologist ,bsc chemistry,10,Software
278, Student Ambassador ,bsc estate management,4,Logistics & Transportation
279, IT intern ,bsc environmental science,5,Government Services
280, Personnel psychologist ,bsc geography,5,Health
281, Content Writer,bsc geology,10,Business Products & Services
282, Business Management Consultant,bsc industrial chemistry,10,Education
283, Human Resource Coordinator,bsc information technology,7,Environmental Services
284, Educator ,bsc mathematics,3,Manufacturing
285, Accountant & Model Analyst,bsc mechanical engineering,7,Health
286, Relationship Manager ,bsc microbiology,5,Software
287, Head Of Business Development,bsc nursing,4,Health
288, University of Lagos,bsc physics,5,Human Resources
289, Financial advisor ,bsc statistics,6,Manufacturing
290, Parttime Lecturer,bsc biochemistry,7,Health
291, CEO/Counseling Psychologist,bsc bioinformatics,8,Advertising & Marketing
292, STATE SENIOR DATA ANALYST,bsc biomedical engineering,10,Business Products & Services
293, Learning Development Officer ,bsc botany,6,Government Services
294, Psychologist intern ,bsc chemical engineering,0,Retail
295, Healthcare Worker,bsc computer engineering,10,Retail
296, Associate ,bsc electronic engineering,10,IT Management
297, Business Development Executive,bsc food science and technology,10,Software
298, Fashion Design Intern/Asst.Instructor,bsc forestry,5,Logistics & Transportation
299, Inhouse Counselor,bsc genetics,7,Software
300," Business Data Analyst at Globacom, Nigeria",bsc geophysics,0,Advertising & Marketing
301, Data Analyst ,bsc industrial physics,3,Health
302, Dataleum,bsc marine biology,10,Media
303, Licensed Clinical Psychologist,bsc marine science,8,Consumer Products & Services
304, IndabaXNigeria ,bsc marketing,5,Logistics & Transportation
305, Project Supervisor,bsc mass communication,10,Advertising & Marketing
306, Licensed Clinical Psychologist,bsc medical laboratory science,10,Software
307, Asst. Data Management Executive,bsc meteorology,4,Health
308, Data Analyst ,bsc petroleum engineering,4,Advertising & Marketing
309, People and Culture Associate,bsc pharmacy,3,Retail
310, Quality Assurance Analyst ,bsc plant science,3,Advertising & Marketing
311, Data Analyst ,bsc polymer science and technology,7,Logistics & Transportation
312, Osun State University,bsc psychology,15,Real Estate
313, Relationship Officer ,bsc public health,7,Business Products & Services
314, Managing Director ,bsc quantity surveying,5,Consumer Products & Services
315, Data Analyst ,bsc radiological science,6,Software
316, Director & Lead Research Consultant,bsc software engineering,12,Advertising & Marketing
317, Data Analyst & Database Administrator,bsc surveying and geoinformatics,7,Logistics & Transportation
318, Psychologist ,bsc tourism and hospitality management,10,Health
319, CUSTOMER EXPERIENCE SUPERVISOR,bsc wildlife and fisheries management,8,Consumer Products & Services
320, Data analyst intern,BSc Biochemistry ,10,Education
321, Data Analyst ,BSc Biochemistry ,10,Software
322, Volunteer Virtual therapist,BSc International relations and affairs,5,Financial Services
323, Administrative Assistant ,BSc Human Resource management ,6,Software
324, Executive Assistant,"BS, Metallurgical Engineering",0,Manufacturing
325, Mental Health Counselor,BASc Real Estate,10,Real Estate
326, Human Resources Consultant,BE. Agricultural Engineering ,10,Retail
327, Proofreader ,BSc Entrepreneurship studies,5,IT Management
328, Product management and sales,BSc Accounting,5,Software
329, Senior Administrative Assistant,B.Tech. Food Science and Technology ,6,Advertising & Marketing
330, Client Management Specialist,BSc Biochemistry ,10,Software
331, Art Therapist ,BSc Industrial Chemistry ,9,Logistics & Transportation
332, Business Development Manager,Mechanical Engineering ,10,Advertising & Marketing
333, University of Lagos,Mechanical Engineering ,5,Financial Services
334, President ,BSc Biochemistry ,5,Advertising & Marketing
335, Retail Data Analyst ,BSc Economics ,3,Real Estate
336, Human Resources Administrative ...,BSc Mechanical Engineering ,5,Government Services
337, Electrical Technician ,BE Electrical and Electronics Engineering ,10,Software
338, University of Lagos,Bsc Physics and Mathematics ,4,Construction
339, IT Business Analyst ,Bsc Sociology ,4,Energy
340, Customer Experience ,BE Electrical and Electronics Engineering ,10,Advertising & Marketing
341, Horizon West Africa,Bsc Integrated Marketing Communications ,6,Media
342, Executive Office Administrator,B.Tech Applied Geology,3,Business Products & Services
343," Head, Management Information ...",B.Tech Physics electronics,7,Consumer Products & Services
344, Yaba College of Technology ...,,9,Business Products & Services
345, Quality Analyst ,BSc Microbiology,8,Logistics & Transportation
346, Middlesex University,BA Religious studies,0,Consumer Products & Services
347, General Secretary ,BSc Biochemistry,15,Software
348, Co,BSc Pure and applied biology,3,Financial Services
349, Clinical Psychologist,BSc Food Science and Technology ,4,Food & Beverage
350, Student Counselor ,BEng Electrical ad Electronics Engineering,5,Business Products & Services
351, Account Officer ,BSc Computer Science,5,Financial Services
352, Data Analyst ,B.Tech Agricultural Engineering ,9,Business Products & Services
353, Research/ Data Analyst Executive,BSc Computer Science,10,Software
354, Human Resources Manager,B.Tech Microbiology,5,Business Products & Services
355, Social Media Manager,BSc Computer Science,7,Software
356, Data Analyst ,BSc Computer Science,6,Advertising & Marketing
357, Data Analyst ,bsc accounting,10,Consumer Products & Services
358, Customer Support Officer ,bsc business administration,7,Construction
359, Credit Control Officer at MultiChoice,bsc economics,6,Security
360, University of Lagos,bsc civil engineering,4,Logistics & Transportation
361, Customer Relationship Management ...,bsc electrical engineering,7,Construction
362, Business Development Officer ,bsc geography,5,Retail
363, Data Analyst Intern,bsc geology,10,Health
364, Strategy Analyst ,bsc information technology,0,IT Management
365, industrial Psychologist ,bsc mathematics,10,Health
366, Human Resources Analyst,bsc mechanical engineering,10,Consumer Products & Services
367, Data Entry Clerk ,bsc microbiology,8,Retail
368, Graduate Field Representative,bsc nursing,3,IT Management
369, Tutor ( School Data Analyst),bsc physics,8,Software
370, Agriculture tutor,bsc statistics,10,Software
371, Customer Service Representative,bsc biochemistry,10,Health
372, Business Development Associate,bsc bioinformatics,5,Software
373, Graduate Research And Teaching Assistant,bsc biomedical engineering,0,Retail
374, Andaliyaas Modest Wears,bsc botany,3,Advertising & Marketing
375, Platform Support Specialist ,bsc chemical engineering,5,Consumer Products & Services
376," Lecturer, Psychologist ",bsc food science and technology,2,Advertising & Marketing
377, Data Analyst Intern,bsc forestry,5,Travel & Hospitality
378, Admin/ Relationship officer ,bsc genetics,10,IT System Development
379, Hair And Makeup Artist ,bsc geophysics,5,Retail
380, Data Analyst,bsc industrial physics,10,Security
381, Information Technology Auditor,bsc marine biology,3,IT Management
382, Data Analyst ,bsc marine science,2,Software
383, Trained counsellor ,bsc marketing,3,Software
384, Associate Team Lead ,bsc medical laboratory science,5,Health
385, Software Implementation Consultant,bsc meteorology,0,Consumer Products & Services
386, Special Assistant to the Governor of ...,bsc petroleum engineering,0,Software
387, Customer Service Representative,bsc pharmacy,0,Retail
388, Yaba College of Technology ...,bsc plant science,10,Financial Services
389, Corporate Retention Associate,bsc polymer science and technology,10,Government Services
390, Data Research Analyst ,bsc psychology,5,Business Products & Services
391, Financial Transaction Officer ,bsc public health,5,Advertising & Marketing
392, Product Implementation and Support ...,bsc radiological science,10,Computer Hardware
393, CEO/MD at Denwi Services Limited,bsc software engineering,7,Software
394, Team Lead ,bsc surveying and geoinformatics,3,Software
395, Zero Carbon Africa Impact ...,bsc tourism and hospitality management,5,Human Resources
396, Customer Relationship and Business ...,bsc wildlife and fisheries management,9,Health
397, Data Analyst ,Bsc.Agricultural Economics ,10,IT Management
398, Business Analyst ,Bsc.Accounting ,5,Advertising & Marketing
399, Sonographer ,"BE,French and Education",5,Logistics & Transportation
400, Physical Educator,Bsc.Marketing ,5,Logistics & Transportation
401, Data Analyst intern ,Bsc.Economics ,3,Telecommunications
402, University of Ibadan,Bsc.Real Estate Management ,10,Advertising & Marketing
403, Brand Manager/Data Analysts,BSc Business Administration and Management ,5,Advertising & Marketing
404, Finance Executive ,BSc Business Administration and Management ,7,Construction
405, Chief Analyst ,BA Mass commuication/Media studies,5,Business Products & Services
406, Nursing and Midwifery Board of Ireland,BA Combined Arts,4,IT Management
407, Data Scientist/Analyst ,BSc Anatomy,10,Logistics & Transportation
408, Information Technology Engineer,B.Eng. Electronics and computer Engineering ,9,Government Services
409, Data Analyst ,B.Eng. Electrical Engineering ,10,Advertising & Marketing
410, Assistant Operations Manager ,B.Eng. Mechanical Engineering ,7,Manufacturing
411, Design Internship ,BSc Computer Science,5,Health
412, Lead ,Bsc.Geophysics,7,Retail
413, Data Analyst & Researcher,"BA,Bachelor of Art",4,IT System Development
414, Relationship Manager ,Bsc.Geography ,10,Travel & Hospitality
415, Data Analytics ,Bsc.Computer Science ,10,Retail
416, Office Assistant and Web Developer,Bsc.Public Administration ,7,Education
417, Switch Application Support Officer ,"BE,Electrical and Electronics Engineering ",5,Security
418, Research Analyst ,Bsc.Computer Science ,10,Security
419, Customer Service Representative,"BE,Civil Engineering ",0,IT Management
420, Sales Manager ,BA.History ,11,Real Estate
421, Logistics Specialist/Procurement officer,Bsc.Sociology ,12,Logistics & Transportation
422, Graduate Student ,Bsc. Physiology,7,Telecommunications
423, Information Technology System Analyst,"B.Sc, International Public Health/International Health",11,Construction
424, Graduate Teaching Assistant,"BS, Biochemistry",10,Food & Beverage
425, Software Engineer ,"BS, Management and Accounting",10,IT Management
426, Reporting Analyst ,"B.Sc, Microbiology, General",9,Real Estate
427, Monitoring And Evaluation Officer,Bachelor of Industrial Mathematics,5,Construction
428, Consultant ,BSc Computer Science,5,Advertising & Marketing
429, Data Analyst ,BS Marine Biology and Biological ,5,Food & Beverage
430, Technology Risk Consultant ,"BScEd, Home Economics",10,Software
431, Data Analyst ,Bsc.Psychology ,10,Logistics & Transportation
432, Data Analytics Intern,Bsc.Mass Communication ,7,Government Services
433, Area Sales Manager ,Bsc.Electrical and Electronics Engineering ,10,Real Estate
434, The World Bank,"Bsc,Economics ",10,Environmental Services
435, Data Administrator ,Bsc.Sociology ,9,Consumer Products & Services
436, Ambassador ,Bsc.Computer Science ,4,Retail
437, Digital Transformation Analyst ,Bsc.Computer Science ,7,Education
438, Seedstars,"BA,  Linguistics ",7,Retail
439, mymdoc,B.Eng Mechanical Engineering ,10,Government Services
440, Distribution substation operator(DSO),"BASc, Management Information Systems",8,Advertising & Marketing
441, Lecturer ,"BSc City/Urban, Community and Regional Planning",10,Financial Services
442, Comcast,BSc. Computer Science,15,Logistics & Transportation
443, Managing Partner (CEO) ,B.Tech. Computer Engineering,10,Advertising & Marketing
444, Aveo,BSc Fishing and Fisheries Sciences and Management,8,Security
445, Educational Psychologist,BSc Geology/Earth Science,15,Advertising & Marketing
446, Lead Consultant ,BSc Electrical and Electronics Engineering ,2,Software
447, Strategic HR Associate ,BA Theatre annd media arts,5,Logistics & Transportation
448, Sales Executive ,"BSc, Business Administration and Management",10,Real Estate
449, Lead Petrophysicist ,"Bachelor's degree, political Science ",10,Business Products & Services
450, Business Development Executive,"BS, Computer Science",5,Advertising & Marketing
451, Freie Universität Bozen,"BS, Computer Science",10,Business Products & Services
452, CEO ,"Bachelor of Arts - BA, Linguistics
",10,Business Products & Services
453, Editor ,BSc Microbiology,10,Financial Services
454," Journalist, Producer & Senior Digital Media ...",BSc in Environmental Design,10,Advertising & Marketing
455, News Editor ,BSc Social sciences,10,Software
456, Documentary Photographer,BA.Philosophy ,15,Software
457," Video Journalist, News Specialist",Bsc.Economics ,12,Logistics & Transportation
458, CEO/MD,"LLB,Law ",10,Government Services
459, Journalist ,Bsc.Micro Biology ,5,Food & Beverage
460, Freelance Journalist,Bsc.Biochemistry ,10,Energy
461, Environmental Protection Officer,Bsc.Economics ,5,Financial Services
462, Coordinatrice de l`antenne de RFI en ...,Bsc.Accounting ,5,Manufacturing
463, Broadcast Journalist ,Bsc.Biology and Biological Science,12,Energy
464, Lead Presenter & Associate ...,Bsc.Business Administration and Management ,5,Energy
465, Writer and Editor ,Bsc.Marine Biology,8,Retail
466, AFYVA,"BA,Linguistics ",8,Food & Beverage
467, Founder ,"BASc, Computer Science",5,Construction
468, Freelance,"Bachelor's degree, Systems Engineering",7,Real Estate
469, Journalist ,"Bachelor degree, Banking and Finance",8,Business Products & Services
470, Publisher ,"BS, Geophysics",7,IT Management
471, Environmental Scientist ,"BSc, Computer Science with Economics",5,Telecommunications
472, Pest control journalist ,"BSc, Geography and Environmental Management",5,Financial Services
473, Personal Assistant ,"BS, Civil and Environmental Engineering",10,Telecommunications
474, Business Management Consultant,"BE, Mechanical Engineering",8,Health
475, Head of Programmes |Presenter,B.s.c Mass communications ,0,Software
476, Intern ,"Bsc, Computer Science",10,Advertising & Marketing
477, Technical Director ,"BTech, Computer Engineering",6,Retail
478, I am a journalist ,"BS, Agricultural and Environmental Engineering",5,Health
479, Research Associate ,"BSc, Computer Science",8,Manufacturing
480, Director of Communications,B.Sc. Electrical and Electronics Engineering,10,IT System Development
481, Reporter ,"BE, Computer Engineering",5,Manufacturing
482, Broadcast Presenter and Video editor,"BE, Computer Engineering",10,Business Products & Services
483, Data Analyst ,"Bachelor's degree, Economics",8,Health
484, Author ,"Bachelor's degree, Computer Engineering",5,Real Estate
485, General Secretary ,"BBA, Business Analytics",7,Consumer Products & Services
486, Freelance Video Journalist ,"BS, Computer Science",4,Software
487, Head Of Broadcast Department ,"Bachelor of Medicine, Bachelor of Surgery - MBBS, Medicine",5,Government Services
488, Sports Administrator ,"Bachelor of Agriculture, Agricultural Economics",7,Business Products & Services
489, HEELHEID BUSINESS,"Bachelor's degree, Accounting",10,Construction
490, Fact Checker ,"BA, English Language and Literature",4,Consumer Products & Services
491, Social Media Manager ,"BE, mechantronics engineering",10,Logistics & Transportation
492, Head Digital Technology Support,"BE, Mechanical Engineering",10,Education
493, Student Intern ,BSc Electrical and Electronics Engineering ,7,Manufacturing
494, Property Manager ,"BTech, Computer Science",5,Government Services
495, Executive Assistant ,"Bachelor’s Degree, Electrical and Electronics Engineering",5,Health
496, Associate ,"BSc. (hons), Electrical & Electronic Engineering",4,Government Services
497, Field Marketing Representative,"BE, Electrical and Electronics Engineering",10,Consumer Products & Services
498, Manager ,B Tech. in Quantity Surveying,6,Software
499, Graduate Research Assistant,"BS, Computer Science",10,Consumer Products & Services
500, Lead Creative,"BE, Mechanical Engineering",3,Health
501, University of Lagos,"Bachelor of Science (B.Sc.), Computer Science",7,Consumer Products & Services
502, Sales And Marketing Specialist,B.Sc. Computer Science,10,Business Products & Services
503, University of Lagos,"BS, Biochemistry",10,IT Management
504, Founder ,"Chemistry/Education , Education",5,Business Products & Services
505, Product Manager ,"BEd, Guidance and counseling ",7,Government Services
506, Assistant Registrar,"Bachelor's degree, Biochemistry",10,Advertising & Marketing
507," Ilorin, Kwara State, Nigeria",LLB. Law,7,Real Estate
508, Customer Specialist ,"B. Fisheries, Aquaculture",5,Consumer Products & Services
509, Artist ,"BS, Biology/Biological Sciences, 
",10,Software
510," Head, Non","Bachelor's degree, Economics",10,Energy
511, Adjunct Instructor ,"Bachelor's degree, Natural Sciences( Microbiology)
",5,Logistics & Transportation
512, Social Media Manager and Designer,"BSc, Accounting",7,Government Services
513, Content Writer ,B.Sc Accounting,7,Insurance
514, Head of Media ,"BA, Mass Communication/Media Studies",5,Business Products & Services
515, Content Writer ,"BS, Accounting",10,Construction
516, Qubators,"Bachelor of Laws - LLB, Law",6,Software
517, OPay,"BS, Geography",5,Financial Services
518, Policy and Strategy Resource,"Bachelor's degree, civil engineering",10,Consumer Products & Services
519, Electonic document management Engineer,"BEng, Electronic & Computer Engineering ",5,Construction
520, Content Administrator,"BE, Electrical and Electronics Engineering",10,Government Services
521, News Manager ,"BSc, Biochemistry",10,IT Management
522, Ahmadu Bello University,"BBA, Business Administration and Management",5,Software
523, University of Lagos,"BTech, urban and regional planning",5,IT System Development
524, procurement and logistics officer,"BS, Computer Technology",5,Business Products & Services
525, Visual Content Producer ,"BS, Computer Science",10,IT System Development
526, Business Growth Consultant ,"Bachelor of Science - BS, Sociology",7,Advertising & Marketing
527, Retail Products Support Officer,Bsc,3,Advertising & Marketing
528, Creative Director ,BSc. Electrical/Electronics Engineering,5,Consumer Products & Services
529, Founder ,"BSc, Agricultural Engineering And Environmental Engineering",5,Government Services
530, Video Editor ,BSc (ED) Economics,10,Advertising & Marketing
531, Director ,BSc Economics,8,Government Services
532, Eaton,Bsc. Geology and Mineral Sciences,10,Government Services
533, Web developer and content producer,Bsc. Petroleum engineering ,7,Advertising & Marketing
534, Reporter and Presenter,Bsc. zoology/Animal Biology,5,Logistics & Transportation
535, Accountant ,BSc Computer science/Cybersecutity ,7,Health
536, news and programme assistant,BSc Industrial Chemistry ,12,Government Services
537, Fleet Coordinator,"Bsc, Clinical Laboratory Science",5,Government Services
538, Digital Product Manager ,"Bsc, Microbiology",5,Construction
539, AIESEC in Nigeria,"BSc, Nursing ",11,Computer Hardware
540, Assistant Quantity Surveyor,"BSc, Biochemistry",4,Advertising & Marketing
541, Media And Communications Officer,BSc. Law,5,Financial Services
542, Account Manager ,"BSc, Statistics",7,Insurance
543, Founder / Director,"Bachelors of Medicine, Bachelors of Surgery",7,Government Services
544, CEO/MD ,B.Tech Applied Geology,7,Insurance
545, Quantity Surveyor,Bsc. Marketing ,4,Real Estate
546, Self Employed ,Bsc. Chemical Engineering ,10,Human Resources
547, Founder ,BSc Statistics ,5,Engineering
548, Assistant Lecturer ,BSc Computer science ,10,Advertising & Marketing
549, Creative Director ,B.Arch Architecture ,4,Education
550, Film/video editor and camera operator,BSc Human Physiology,5,Consumer Products & Services
551, Magistrate ,BSc Chemical Engineering ,9,Engineering
552, First Responder | Fire Officer,BE Civil Engineering,5,Advertising & Marketing
553, MD ,BSc Tourism Management ,12,Government Services
554, Administrative Assistant,B.eng  Petroleum Engineering ,7,Retail
555, HOD and Class Teacher ,BSc Chemistry,10,Manufacturing
556, Production Manager ,BSc Economics,9,IT Management
557, Research Analyst ,BSc Economics,5,Business Products & Services
558, Kenyatta University ,BSc Linguistics and communication studies,10,Consumer Products & Services
559, Medical Laboratory Scientist,B.Ed Education Mathematics ,10,Government Services
560, Offshore Installation Support Manager,BA History and diplomatic studies,10,Retail
561, Project Manager ,BSc Music,7,IT Management
562, Founder ,BSc Biochemistry ,6,Education
563, Co,BSc Biochemistry ,0,Advertising & Marketing
564, Presenter and Producer,BSc Pure ad Industrial chemistry,7,Food & Beverage
565, Client Relationship Manager,BSc Human Resource management ,6,Retail
566, Education Professional ,BSc Entrepreneurship studies,6,Software
567, Office Manager ,BSc Accounting,9,Software
568, Writer,B.Tech. Food Science and Technology ,12,Retail
569, Graduate Research Assistant,BSc Biochemistry ,3,Software
570, Event Decorator ,BSc Industrial Chemistry ,3,Health
571, Human Resource Associates,Mechanical Engineering ,7,Business Products & Services
572, Education Professional ,BSc Biochemistry ,6,Business Products & Services
573, Intern ,BSc Economics ,5,Government Services
574, Founder and Coordinator,BSc Economics ,10,Construction
575, Creative Designer,BSc Mechanical Engineering ,5,Government Services
576, Operational Sales Manager,BE Electrical and Electronics Engineering ,4,Energy
577, Executive Director Marketing/Operations,Bsc Physics and Mathematics ,4,Retail
578, Mental Health Counsellor,Bsc Sociology ,9,Consumer Products & Services
579, Business Development Executive,Bsc Industrial Microbiology ,7,IT System Development
580, Event Manager ,Bsc Integrated Marketing Communications ,5,IT Management
581, Member ,Bsc Applied Microbiology and Brewing,7,Energy
582, Teacher and news editor ,B.Tech Applied Geology,10,Security
583, Camera Assistant ,,11,Consumer Products & Services
584, Photojournalist ,BSc Microbiology,5,IT Management
585, Administrative Assistant,BA Religious studies,3,Real Estate
586, Coal Mining Operation Supervisor,BSc Biochemistry,10,Business Products & Services
587, Education Officer ,BSc Pure and applied biology,10,IT Management
588, Focal Person ,BSc Food Science and Technology ,2,Business Products & Services
589, Copywriter ,BEng Electrical ad Electronics Engineering,10,Business Products & Services
590, Campus Ambassador ,BSc Computer Science,11,Construction
591, servant ,BSc Computer Science,4,Retail
592, On Air Personality ,B.Tech Microbiology,10,Food & Beverage
593, Content Writer ,BSc Computer Science,5,Retail
594, Student ,BSc Computer Science,5,Retail
595, Life Coach ,BSc Computer Science,10,Logistics & Transportation
596, Information Technology Support Officer,"B.Eng Electrical, Electronics & Communications Engineering",10,Business Products & Services
597, student ,BSc Computer Science and Education ,5,Consumer Products & Services
598, Sales And Marketing Specialist,BSc Microbiology,10,Telecommunications
599," Television technician, Vision control",BSc Medical laboratory science,6,Travel & Hospitality
600, Procurement and logistics Manager,BTech Petroleum Engineering ,10,Food & Beverage
601, Real Estate Salesperson ,BSc Computer Science,7,Health
602, University of Hull ,BSc Cell Biology and Genetics,10,Energy
603, Associate ,B.Tech Computer Science ,8,IT Management
604, Correspondent (Ogun State) ,BSc. Mechanical Engineering ,6,Health
605, Cloud Administrator ,BSc. Architecture,7,Energy
606, Content Writer ,BSc. Biochemistry,10,Software
607, Growth Lead ,Bsc Geology and Mineral Science,5,Construction
608, design engineer ,BSc Banking and Finance,10,Advertising & Marketing
609, Art Teacher ,BA English and Literature,0,Human Resources
610, Principal Internal Audit Officer,BA Mass communication & Media studies,3,Logistics & Transportation
611, Sales Manager ,BSc Computer science ,7,Real Estate
612, Executive Trainee ,BSc Economics,7,Real Estate
613, Team Manager ,BSc Computer science ,10,Security
614," Usmanu Danfodiyo University, Sokoto",Bsc.Statistics ,0,Health
615, Silverbird Cinemas Limited,Bsc.Geology and Mineral Science ,4,Software
616, University of Benin ,Bsc.Biochemistry ,5,Insurance
617, Frontend Web Developer ,Bsc.Botany/plant Biology,7,IT Management
618, Marketing Manager,BE.Civil Drafting and Civil Engineering ,6,IT Management
619, Higher Laboratory Technologist ,Bsc.Finance,6,Financial Services
620, Supervisor ,Bsc.Chemical Engineering ,5,Software
621, Self Employed,Bsc.Petroleum Engineering ,5,IT System Development
622, Higher Executive Officer,BE.Chemical Engineering ,5,Human Resources
623, Medical Officer ,Bsc.Biochemistry ,10,Real Estate
624, Volunteer Staff ,"BE,Civil Engineering ",4,Advertising & Marketing
625, Nigeria Marketing Representative ...,Bsc.Biochemistry ,5,Business Products & Services
626," Accra, Greater Accra Region, Ghana",BSc Food Engineering,10,Retail
627, Editor In Chief ,BSc Computer Science,3,Financial Services
628, The ONE Campaign,BE. Agricultural and Bioresources engineering ,3,Consumer Products & Services
629, Sentit,BE. Petroleum Engineering ,5,Media
630, Manager/ Personal Assistant to the MD/CEO,BE. Chemical Engineering ,3,Business Products & Services
631," Halifax, England, United Kingdom",BA Fine Arts and design,0,Engineering
632, Digital Artist ,BS Plant Science and Biotechnology ,5,Telecommunications
633, Executive Program Director ,BTech Industrial and Product Design ,4,Travel & Hospitality
634, Business Development Officer and ...,BA Mass Communication ,5,Health
635, City of Ottawa ,Bsc.Accounting and Finance ,9,Engineering
636, Curriculum Analyst(Advisory),Bsc.Agricultural Economics ,10,Computer Hardware
637, Lead strategist ,Bsc.Accounting ,10,Business Products & Services
638, Head of Social and Content,"BE,French and Education",10,Telecommunications
639, Founder ,Bsc.Marketing ,7,Human Resources
640, Ambassador ,Bsc.Economics ,5,Software
641, Content Creator ,BSc Business Administration and Management ,5,Software
642, Customer Service Officer,BA Mass commuication/Media studies,10,Food & Beverage
643, Graduate Assistant ,BA Mass commuication/Media studies,5,Health
644, Technology and Design Associate,BA English Language/ Literature ,10,Health
645, Telesales Representative ,BA Combined Arts,6,Business Products & Services
646, Toronto Metropolitan University,BSc Anatomy,7,Financial Services
647, Social Media Manager,B.Eng. Electronics and computer Engineering ,10,Software
648, GOGOOJ GOLDEN MCPS LTD.,B.Eng. Electrical Engineering ,5,Business Products & Services
649," Jhang, Punjab, Pakistan | Professional Profile",BSc Computer Science,10,Construction
650, Care Givers,Bsc.Geophysics,3,Financial Services
651, Corporate Communications Officer ,"BA,Bachelor of Art",10,Retail
652, Production Manager ,Bsc.Geography ,8,Advertising & Marketing
653," Department for Environment, Food and ...",Bsc.Public Administration ,5,IT System Development
654, World Health Organization UCL,"BE,Electrical and Electronics Engineering ",5,Business Products & Services
655, Noni ,Bsc.Computer Science ,10,Real Estate
656, voorman expeditie ,Bsc. Physiology,3,Consumer Products & Services
657, Vytauto Didžiojo universitetas,Bsc. Microbiology,8,Software
658, Teaching Assistant ,"B.Sc, International Public Health/International Health",4,Software
659, Teaching Assistant ,"BS, Biochemistry",3,Construction
660, TU Delft | Civil Engineering and Geosciences,"BS, Management and Accounting",5,Consumer Products & Services
661, Member ,"B.Sc, Microbiology, General",10,Business Products & Services
662, Independant PR @ communications ...,Bachelor of Industrial Mathematics,10,Engineering
663, Digital Marketer ,BS Marine Biology and Biological ,4,Financial Services
664, Graphic Designer and digital marketer,"BScEd, Home Economics",0,Software
665, Digital Marketer/Creative Director,Bsc.Psychology ,10,Logistics & Transportation
666, Graphic Designer ,Bsc.Psychology ,4,Financial Services
667, Marketing Director ,Bsc.Mass Communication ,2,Government Services
668, graphics designer/social media manager,Bsc.Biology/Biological ,10,Consumer Products & Services
669, Social Media Graphics Designer,"Bsc,Economics ",10,Health
670, Graphic Designer,Bsc.Sociology ,8,Media
671, Digital Marketing Manager & Lead ...,Bsc.Computer Science ,3,Education
672, Social Media Manager,Bsc.Computer Science ,10,Business Products & Services
673," Graphic Illustrator, digital marketer ...",Bsc.Mass Communication ,8,Software
674, Digital marketing ,Bsc.Computer Science ,6,Software
675, Social Media Manager ,"BA,  Linguistics ",8,Health
676, Freelance Graphic Designer,"BA,  Linguistics ",7,Government Services
677, Digital Marketing Specialist ,B.Eng Mechanical Engineering ,7,Consumer Products & Services
678, Graphic Designer ,"BASc, Management Information Systems",10,Logistics & Transportation
679, Creative Director ,"BSc City/Urban, Community and Regional Planning",10,Software
680, Digital Marketing Agency Owner,BSc. Computer Science,7,Real Estate
681, Graphic Designer and Social Media ...,B.Tech. Computer Engineering,3,Advertising & Marketing
682, Web Designer and Digital Marketer,BSc Fishing and Fisheries Sciences and Management,7,Human Resources
683, Marketing Strategist | Digital Marketer,BSc Geology/Earth Science,10,Construction
684, Digital Marketing Executive,BSc Electrical and Electronics Engineering ,5,Health
685, Digital Marketing Specialist ,BA Theatre annd media arts,8,Government Services
686, Digital marketer and social media lead,"BSc, Business Administration and Management",10,Business Products & Services
687, Digital Marketing Specialist,"Bachelor's degree, political Science ",3,Financial Services
688, Digital Marketing Manager,"BS, Computer Science",5,IT Management
689, Graphic Designer ,"BS, Computer Science",6,Logistics & Transportation
690, Digital Marketing Executive ,"Bachelor of Arts - BA, Linguistics
",10,Financial Services
691, Fellow ,BA Linguistics ,0,Software
692, Digital Marketing Manager,BSc Microbiology,6,Financial Services
693, Digital Marketing Specialist,BSc in Environmental Design,8,Software
694, Graphic Designer/Digital Marketer,BA Business Management ,10,Consumer Products & Services
695, Head of Digital Marketing and designs,BSc Social sciences,10,Advertising & Marketing
696, Digital Marketing Manager ,BA.Philosophy ,5,Education
697, Digital Marketer/ PR Specialist ,Bsc.Economics ,8,Construction
698, Social Media Marketing Manager,"AWS Certified Solutions Architect, Microsoft Certified: Azure Developer Associate",6,Consumer Products & Services
699, Digital Marketing Manager/Team ...,"Cisco Certified Network Associate (CCNA), CompTIA Security+",7,Human Resources
700, Digital Marketing Manager,Certified Clinical Research Professional (CCRP),5,Government Services
701, Front,"Licensed Professional Counselor (LPC), Certified Mental Health Counselor (CMHC)",5,IT System Development
702, Creative Designer ,"Chartered Financial Analyst (CFA), Certified Management Accountant (CMA)",12,Government Services
703, Social Media Manager | Digital Marketer,Certified SolidWorks Associate (CSWA),6,Consumer Products & Services
704, Digital Marketing Intern ,Microsoft Certified: Azure Fundamentals,10,Business Products & Services
